year,make,model,review,
2008,Honda,Accord,"I love my Honda! It drives excellent, mileage has been 29 MPG highway and 22 city! The power seat is great and the stereo is amazing. This is my second Honda and I love driving this car. I bought this car brand new and it's the second car I bought brand new, well worth it!",
2008,Honda,Accord,"I have owned 6 Honda Accords and I loved every ride
 from my '84 to my 9 mo. old '08. My wife and children
 have been the proud owners of 16 Civics and Accords.
 Domestics cars are no match for the the perfect 
 combination of reliability, resale value, styling, performance, and affordability found in the Honda.
 Yes, I've owned Chevys, Plymouths, Buicks, Fords in
 my foolish younger days but I have seen the light. 
 I just sold my '96 Accord with 250,000 miles on it.
 The engine, transmission and body are in good shape.
 Of the domestics, only my '78 Buick Century Wagon
 got to 120,000 miles before the head gasket cracked
 and I sold it. 
 I doubt whether the Rednecks that talk trash 
 about the Honda ever owned one. What's not to like
 about the Accord? Just ask the Research Test Drivers at Consumers Report,Car and Driver, Motor Trend, and Road and Track magazines.
 Its hard to deny the evidence from car sales
 and expert reviews over many years that Honda
 is a great way to spend your transportation dollar. I paid less that $20,000 for my '08 Accord with 
 the styling,quality, reliability, and size that
 rivals the BMW's 535i series.
  My '08 Accord is 60%
  US/Canada made( assembled in Maryville,OH) compared to Ford Fusion's 40%(assembled in Mexico).
 So which car is more American? You decide. My 
 next car? What do you think? Isn'**********
 to keep buying products with proven value. Many
 consumers see it that way too......",
2008,Honda,Accord,Love my accord!! Awesome car!! Recommend to everyone!!,
2008,Honda,Accord,"I have been reading several reviews from people who have had nothing positive to say about this car. I beg to differ. I am leasing a 2008 Coupe, 4 cylinder with really nice cloth interior. It is silver, loooks great in the lot but what really impresses me is when I take it out on the road. the handling is very, very good, the breaks (which many people complained about) do a very good job. I average around 24 mpg combined and around 30-31 mpg highway. Plan to purchase when lease is over.",
2008,Honda,Accord,"BOUGHT IT NEW AND AM SOMEWHAT DISAPPOINTED. THE MILEAGE IS NOWHERE NEAR WHAT THE NEW WINDOW STICKER ESTIMATES. IT IS UNDERPOWERED,TOO BIG WITH TERRIBLE BRAKES. IF YOU SEARCH GOOGLE YOU WILL SEE HOW MANY CUSTOMERS HAVE COMPLAINED ABOUT THE BRAKES AND HONDA WILL NOT FIX IT....TERRIBLE
 I SHOULD HAVE LOOKED HARDER AT AN IMPALA,WITH THE EMPLOYEE PRICING IT IS A BETTER VALUE AND BETTER CAR FOR THE MONEY.",
2008,Honda,Accord,"We chose the Accord, 6 cylinder. Very nice sound system, handling, etc. BUT! After driving on the highway, the road noise was deafening! We actually turned it back within 2 weeks after discussing our displeasure with the dealer. We now have a Toyota Camry. Even though we lost money on this whole deal, it was better than listening to that noise for the 3 year lease.",
2008,Honda,Accord,"I purchased my 08 Accord in May. Great gas mileage.
 I came out of a 2002 Avalon and there is a bit of difference in the ride. The Avalon at 6 years old was still smoother and handled like a luxury vehicle. The Accord has a lot more road noise. The interior is very roomy and I love the body style. However, I realize I purchased a cheaper vehicle this time so I have to manage my expectations. The sheet metal is very thin and the plastic bumper gives with the press of your thumb. Not sure If I will purchase another. Will likely go back to a Toyota which I drove for 21 years. I have leather seats and every 2-3 weeks I have to clean them because the color from my clothing rubs off and it shows and makes the seat look dirty. I only had to clean my seats in the Avalon every 3-6 months.",
2008,Honda,Accord,i just purchased a new honda acord i should have had my brains inspected this car is crappy does not get the gas mileage as stated 4 cyl no power my lawn mower has more power all around a piece of crap i cant wait to get rid of this junk,
2008,Honda,Accord,"Third Honda, best yet. purchased 08 honda accord exl-v6, diamond pearl white. I sold a truck and a jeep to be able to purchase this car. I viewed it in sept of 07 and knew than I wanted this car. Visited dealership 3 or 4 times before buying, so when I was ready I knew exactly what I wanted. Lo & behold when we got there, THERE IS WAS! mud guards, roof visor, spoiler, side moulding, locking lug nuts, and white, the only thing I added was automatic start.I've had it 7 months now and still love love love it.",
2008,Honda,Accord,"I bought a brand new 20o8 Honda Accord EX in April.
 I am very pleased with this vehicle especially the great gas mileage. (I chose not to spend the extra money for the 6 cylinder) I didn't feel like the additinal price was worth it for what you were getting. What really suprised me is that this top-of-\the-line vehicle doesn't come with a built-in Homelink garage door opener. I was kind of shocked after delivery to find this out. Peculiar as my previous vehicles a 1997 Chrysler Sebring and a 2002 Chrysler 300M had a built in system. In order to get the opener you would have to shell out the extra money for the EX V6....Kind of a turn-off.",
2008,Honda,Accord,"ABSOLUTELY TOP NOTCH...GREAT HANDLING..QUIET...SMOOTH AND POWERFUL V6...500 MILES SO FAR AND LOCAL DRIVING MILEAGE IS GOOD.
 YOU REALLY CAN NOT TELL WHEN ENGINE SWITCHES OFF TO 4 CYLINDERS,,,HAPPENS AS SOON AS YOUR MOVING DOWN A STREET...NEED THAT 6 AND ITS BACK ON IN A BLINK AND YOUR HAULING QUICK.
 GREAT INTERIOR..SPACIOUS, AND THE RADIO SOUND IS EXCELLENT...CD'S SHOW IT'S TRUE POTENTIAL BUT THE FM QUALITY IS ALOS EXCELLENT WITH A SENSITIVE RECEIVER.
 BREAKING SYSTEM IS A GRABBER..YOU BETTER BE EASY AT FIRST WITH THESE BRAKES...I WISH I HAD THEM ON MY OTHER CARS. ALL CONTROLS ARE WITHIN EASY REACH AND EASY TOO SEE. NO COMPLAINTS WITH ANY NOISE SO FAR. THIS CAR IS A KEEPER!",
2008,Honda,Accord,"WOW!!!!!!!!!!! We leased at 2008 Honda Accord, (never owned one before) when my husband got hit in his van for work. 
 
 We love it.... the gas mileage is fantastic, it is roomy, and comfortable and it drives very well not to mention the resale on this car is unbelievable. I want to trade my Jeep in now for another Honda.. but I have to wait another 3 years. But I will..",
2008,Honda,Accord,"My husband purchased my Honda for our 22nd Anniversay
 in June, and I appreciate this car. It was such a pretty car on the lot, and when I got it home it became beautiful. The gas mileage is great, it is a large car compared to what I was driving, but I've managed to get comfortable with it and how it handles. We got the EX-L and even though some reviews say the ""L"" stands for leather, to us it stands for luxury. The car has more than leather seats, it also has a wonderful navigational system that I personally enjoy using. I enjoy the 6-discs CD changer and the XM radio and the speakers are perfectly clear.
 I'm not going to say anything negative about my car because there is no such thing as a perfect car. If anyone is looking for a nice car that handles well looks wonderful and a nice miser with gas then the HONDA ACCORD is the car to buy.
 I call my car the Honey Wagon because my Honey bought it for me.",
2008,Honda,Accord,I traded my 2004 Honda Accord to the new sleek looking 2008 4 door. I downgraded from the V6 to 4 and what great gas mileage getting already. City driving the first couple weeks at almost 25 and upto 27 mpg. The 4 cyclinder is as good as my 2004 V6 pickup. The interior is so roomy and comfortable. Got the top of the line with leather seats in the Green metallic. The driver's lumbar support is the best and most comfortable for long distance driving. The back seat folds completely down for additional room when transporting large boxes. I have nothing negative say about this new redesigned style. It is absolutely beautiful and very economic for a midsize coupe. Get compliments all the time. This Honda is a keeper.,
2008,Honda,Accord,"I have been driving an almost-new (about 8k miles) Hertz rental, while my car is in the body shop. Have driven about 1500 miles so far, and am not particularly impressed.
 
 Likes: Styling is unique, instrument cluster, low wind noise, nice loud horn, decent audio
 
 Dislikes: 4-cylinder engine is very sluggish and sounds like it's from a tractor, trans hunts for the right gear when on moderate uphills - slow to upshift, road noise is horrendous - tires thump loudly over bumps and rough pavement sounds like it's a dirt road, seats are uncomfortable, adjustments are coarse, steering is vague on center and very abrupt off center, i/p center stack is very busy
 
 Quality - there are several rattles & buzzes already, keyfob won't open trunk",
2008,Honda,Accord,"I have a Honda Accord 2008 4cyl, 190hp, 2000 miles, ONLY 16 MPG.",
2008,Honda,Accord,"I quess you could say I am open minded and hate to waste a buck on so called high quality sedan vehicles. I thought the Mercedes E 350 looked dated and it certainly was clearly overpriced, like 55,000 green backs. Then I looked at BMW 5, and sure it was nice but at over 50,000 green back I was at the bad end the EURO exchange. Then I 
 drove a loaded 08 Accord with real leather seating, an intelligent 268 horse V6 that squeezes 30 miles out of ONE GALLON OF REGULAR GAS, AND PERFORMANCE THAT IN MY OPINION IS ALLMOST AS GOOD AS THE BMW AND THE MERCEDES BUT WITH BETTER FUEL ECONOMY. 
 
 DOES THE STORY END and AND WHAT IS THE MORAL OF THE STORY. YOU CAN BUY TWO LOADED 08 HONDA ACCORDS FOR THE PRICE OF ONE MERCEDES OR ONE BMW. OR, FOR THE COST OF A 48 MONTH LEASE FOR A BMW OR A MERCEDES YOU
 OWN YOUR 08 ACCORD AND TRADE IT IN WITH THE HIGHEST RESALE VALUE IN ITS CLASS AND PAY LESS THAN
 HALF THE VALUE OF A NEW 2011. YOU DO NOT HAVE TO BE INTELLIGENT TO OWN AN ACCORD ONLY SMART. ONLY DUMMIES LEASE OR SHOULD I SAY INTELLIGENT PEOPLE. NOW I KNOW WHY 80 PERCENT OF ALL BMWS AND MERCEDES ARE LEASED, LOTS OF INTELLIGENT LEASERS OR SHOULD I SAY LOSERS.",
2008,Honda,Accord,"very nice car for the money.25mpg around town.cannot beat it.......oh,for the knucklehead that stated it was like driving around in a pepsi can on wheels,I have seen many ********** by suv's and everybody comes out alive.I can only say that about a honda.",
2008,Honda,Accord,"In February I bought my Accord. This is my first new car that I have ever bought and I have not been disappointed. It has plenty of room in the back seat. All my friends and family loves to ride in it. I gets great gas millage in the city and on the interstate. I love how quiet it is, how it handles, and how it looks. This is a awesome care all around.",
2008,Honda,Accord,A honda accord is nice on the inside but the outside looks like ugly my son who is 19 has the civic si likes it better than the accord and when we go out to dinner he never wants to ride in it because he thinks it looks like a BMW if anyone is thinking of getting a accord look ane the civics if my son would have picked a honad he would pick the civic si the fit sport and the element he loves the the honda but not the the new accord,
2008,Honda,Accord,"I Just recently purchased the Accord 08 2.4 EX coupe. It is polished metal metallic. I just love it! The handling is amazing, very quiet ride. It is comfy and very roomy inside. Every time I drive it people just stare at ******** got very nice curves on the outside as well as on the inside.",
2008,Honda,Accord,"GREAT STYLE, TRIM, COLORS, FEATURES. 29 MPG ON TRIP & 22/23 SUBURBS. V6/AUTO/NAV. DRIVE IT AND SEE....",
2008,Honda,Accord,"This car jumps when you say jump. No matter if it is from a standing start or cruising down the highway and you want to jump past another vehicle, it feels like you're riding a rocket when you push the petal to the floor. The great part is that it also gets great mileage as well, even at 75 MPH. The first day I bought the car I had people staring and saying how beautiful it is. And everytime I drive it I see at least one person point at it (whether they are in their own car or standing on the street). I get more ""Hey, check that out"" stares than any car I've ever driven. Having the EX-L Coupe gives it a luxury feel without the BMW price. The sound system is also just awesome and I've become hooked on XM Radio (no commercials and all the presets I can handle).",
2008,Honda,Accord,"I drive a lot, 130 mi per day. Very, very comfortable.Nice ride.Pretty silent. Also I get 32-33 mi per gallon.100% happyI love new features.",
2008,Honda,Accord,Nice Car..Looks great..nice ride !!!!,
2008,Honda,Accord,"My complaints on this auto: Very Loud Road Noise, Very uncomfortable driver and passenger seating, Gas mileage was not as advertised.",
2008,Honda,Accord,only 500 miles on this brand new car and getting 25 mpg...Thx Honda,
2008,Honda,Accord,"my daughter has an accord coupe and i drove an 08 sedan. my only complaint on both is, the road noise from the tires. sounds like they need some more insulation or some noise restricting material.",
2008,Honda,Accord,I love my Honda Accord! A great car and a pleasure to drive!,
2008,Honda,Accord,"Its about time honda's style has cought up with its mechanics,get stares and complements every day,and its a honda...",
2008,Honda,Accord,All of the 2008 Hondas are butt ugly. Except the 2008 Honda civic coupes. Someone please fire Hondas car designers ASAP!,
2008,Honda,Accord,"Simply stated, this car is spectacular.",
2008,Honda,Accord,The Honda is classic it continues to get better with time! I love my Accord.,
2008,Honda,Accord,"I purchased a 2008 Honda Accord, I love everything about it, but why did they neglect to put rubber moldings on the doors thresholds (sashes)? The paint will take a beating .",
2008,Honda,Accord,"Just bought a 2008 Accord and love it. It handles great, very comfortable, and good gas mileage.",
2008,Honda,Accord,I am waiting on the delivery of my accord coupe 2008. Of course I got all the goodies in there. 3.5 with navi. color is either going to be white or polished metal with tan leather. yeah imagine that huh. I will post again once i am finally in the car.,
2008,Honda,Accord,"This is absolutely the best car I have owned in years. Car has ample power, styling is tremendous and body fit is masterful. This is my first Accord and I am impressed by the quality. Interior room is very comfortable fo all passengers. All of the options and accessories are made for the enjoyment of those using the car. Once again, Honda has a great car here and I would reccomend it wholeheartedly. It is also the first car in years that I have had people go out of their way to compliment.",
2008,Honda,Accord,"08 Accord LX-P rides very nice stable on corners at high speed, Interior room almost one of the largest, check other cars you won't find many larger in it's class. With 2.4L a little under power but I always want extra for safety but is adequite. Great looks but that's to everyones own taste. Quiet for the price range this car is in, and quality very high detail as always with the Honda products.Trunk space is 14cu., there are a few cars larger but only up to 15.5cu. Milage has yet to be proven, first tank 17.2MPG.",
2008,Honda,Accord,"I just bought a honda accord because of the price but am really not happy at all. I feel like I am riding in a pepsi can with wheels. No wonder it gets great gas mileage because there is no sheet metal surrounding me . I guess I learned the hard way , you get what you pay for . Safety is more important to me then gas mileage . How many miles to empty when an SUV hits you who cares . I should have stuck with a Ford or Chevy you really do get what you pay for I am going to learn the quick when I lose 10000 dollars trading in the bucket o bolts",
2008,Honda,Accord,"The Handling and Acceleration Dynamics of this vehicle leave nothing wanting, it's shapely form captivates and evokes questions like ""what is that"".",
2008,Honda,Accord,"The fit and finish far exceeds it's price range. I found the Navigation and Blue Tooth easy, fun, and very intuitive. This car is scary good.",
2008,Honda,Accord,"With Hondas reputation of legendary reliability and penchant for ""safety for everyone"" going from the driver and passengers, to pedestrians, and even further to the atmosphere and future. Hmmmm and don't they have some of the highest resale values...what are you waiting for?",
2008,Honda,Accord,"Immke NW Honda in Dublin, Ohio gives free lifetime engine warrantys; ask for Winslow he was Great to work with.",
2008,Honda,Accord,"I have always owned Hondas and have passed the tradition down to my children as well. I traded in my 07 exl-V6 for the 08 EXL-V6. The upgrade in quality and performance was amazing. I ended up rolling alot of money over to get into it but thought it was worth it because this car is a definate keeper. The power and performance is amazing. I have owned Acura and Nissan Maxima and have always thought the quality of the Honda far exceeded the quality of the Maxima, now Honda Accord will outgun the Maxima as well. This is basically an Acura[Honda made as well], this car compares very favorably to the TL and is much better in most areas. It's a nice feeling knowing I own one of the most well built, longest lasting cars on the road. I love Hondas impeccable reputation and legendary reputation for quality. It's comforting to know when you buy one that it will ast you years. check out this website,,,,Honda.highmilers.com It pretty much says it all.",
2008,Honda,Accord,"We recently purchased a new Honda Accord '08, and I have to say it is better than any Honda my spouse and I have ever owned. I love the room this car has. I think it is the largest sedan to date, and it is still a very sporty car. I feel very safe driving the family around, which was not always the case with our past Honda's, where they really did have a ""compact"" car feeling. For a car that can be purchased in the low 20's I feel like I am driving a luxury car! The dealership told us, also, that this car cannot be hotwired, so this should no longer be near the top of the most stolen cars list. Check it out people, it is a great car!",
2008,Honda,Accord,"I am a first time Honda owner. Two weeks ago I purchased the 2008 Honda Accord LXP. What a fun car to drive. Quiet ride, lots of room and handles great on the road. I looks like a luxury car and on the road it is hard to distinguish the Accord from the Acura. My husband is over six feet and has lots of room. The quiet ride is a blessing.",
2008,Honda,Accord,"I have to say Honda has surely done right by this car. I have never like Honda, the style was all wrong, it looked too much like a family car. I liked the sporty look )BMW, Acura, Lexus)that all changed when I saw the 2008 Accord. My wife wanted efficiency and she got it! We picked up the EX-L V6 w/ Nav, stock on this model is fully loaded. I drove a BMW 540it sport wagon, although the Honda does not have a V8 I was surprised at the pick-up and the handling. The interior is roomy, especially with the doors opening a great deal more than normal, easy to get the kids in and out and very accommodating for trunk space. The instrument cluster and the gauges are very, very user friendly, Navigation is great! a must have. We haven't even opened the manual yet and we have been able to figure everything out.",
2008,Honda,Accord,"The only downfall I see is the when backing up it is difficult to see out the rear window, (especially with a rear spoiler) but Honda has a back up camera which is an option, another must have.",
2008,Honda,Accord,"All in all, very happy in Oakland,CA.",
2008,Honda,Accord,"Just picked my new 08 Accord LXP sedan 2 weeks ago. This car is an upgrade to my 06 Accord LX sedan and has a lot of features my other one didn't such as 16 in alloys, steering wheel mounted audio controls, ipod aux port, 4 wheels disc brakes, vehicle stability assist with trac control. It has adequate power for a 4 cyl 177, up 11 from my 06. The ride is still that stiff, sporty Honda suspension but it has been refined quite a bit, smoother for sure. It is definately no longer a mid sized sedan. It drives like a larger, heavier car. The headroom legroom and shoulder room have increased quite a bit and is immediately noticed by the driver. The car has completely changed from the 06 and 07 models, the ONLY unchanged aesthetic is the remote/key combo. I'm quite impressed so far with the 358 miles I've racked up in 2 weeks.",
2008,Honda,Accord,"I just recently bought the all-new 2008 Accord and absolutely love it! I had a 2004 accord and changed over to a truck. Upon seeing the new Accord, I had to have it! The handling, pick-up, and interior is awesome! This is one great car!",
2007,Honda,Civic,"bought it new, it's ok but really no better than any other car in its segment, and people have left notes on my windshield saying I have an ugly car, I tend to agree",
2007,Honda,Civic,Great car,
2007,Honda,Civic,I never thought I'd buy a Honda but I did-in 2007 I bought the Civic SI. I couldn't be more happy with it. One day I was stopped at a ************ behind an old station wagon-while waiting for the lite to change I ******* from the rear by an old Oldsmobile. I pictured my trunk inside my rear seat! Well NOTHING! The damn car held up beautifully. I was amazed how sturdy this small car was. I want to give this car to my nephew when he's ready for it because I do know how safe it is. GO HONDA! My only complaint-I wanted leather heated seats!,
2007,Honda,Civic,i will never own a honda again i had a 2006 honda accord brand new to this thing had so many problems after 50000 miles i got it rid of it i'm driving now a 1970 ford LTD it has 200000 miles and it runs better than any car i have ever drivin you got to love america,
2007,Honda,Civic,"After 10 years of VWs, I'm back to Honda for the
 reliability and gas mileage on regular gas.
 VWs would be great cars if it weren't for the
 reliability problems and the majority of their
 cars take premium gas. I told the salesman at
 Honda, it would be great if they could put the
 desirable VW interiors in the Honda! I did love
 driving the VW when it wasn't in the shop and
 will miss it.
 
 All my previous (three)Hondas never had a 
 problem and only went in for regular maintenance. This Honda Civic EX is no exception, I have had
 no mechanical or electrical problems and the 
 sunroof doesn't rattle like two my VWs! I get 
 between 28 and 36 mpg on regular gas, depending
 on how I shift the transmission. I was surprised to find out the oil wt. recommended is 5w-20w. 
 This may be why some people are getting worse 
 gas mileage, if they are putting in 5w-30w (like
 I almost did)or 5w-40w. 
 
 The reason I'm not giving 5 stars is the tires
 sold on this car SUCK. It comes with either
 Bridgestone or Goodyear tires both models of 
 these tires are a safety problem in rain or snow.
 The car slips when it is raining, I replaced
 the tires before the Chicago winter hit and it
 is much better. The tires may be okay in the
 warmer climates that don't see snow or much
 rain...but, anywhere else they are a hazard.
 
 Now, I will be looking at the model and brand
 of tires sold with any new car. 
 
 Overall, the Honda Civic is what I was looking
 for in reliability and gas mileage on regular
 gas. The Honda Civic Si would have been a more
 fun car, but I thought it takes mandatory 
 premium gas and has the larger wheels/tires
 that tend to get messed-up on the pothole 
 landscape we call Chicago!
 
 The other car I was looking at was the Toyota
 Matrix, but the base car(4-cylinder) that got
 good gas mileage didn't have electric windows.
 I gotten used to not cranking the windows down
 manually...",
2007,Honda,Civic,"I bought this car new and the car has a design flaw in the rear suspension and the tires prematurely wear out. Honda knows of the problem and has a service bulletin on it and expects the consumer to pay for new tires. My car has only 20,000 miles and the rear tires are bald. I called Honda and they said they don't warrant tires but will fix the suspension for free. There's thousands of complaints on this issue and Honda is ignoring it. Well I will never buy another Honda again. If this had been a Toyota they would have had a recall by now!",
2007,Honda,Civic,"Let me just start off by saying this is the most fun vehicle i have ever driven. It is very quick, has no lack of power, and it gets good gas mileage as well, 32-34 hwy. Its pretty comfy inside but the seats need more controls for lumbar, etc.... Besides that the interior is very nice and sophisticated. I would recommend it to anyone wanting a reliable gas saving sports car.",
2007,Honda,Civic,"I decided to go Honda after being a Chevy gal for most my life....I love it......I got the manual transmission as I tried the automatic and found it had no pep approaching a highway.....and I love the sport of a 5pd. I got the black which is sleek and an eyecatcher. I will say I gave it almost all a solid 5 but one drawback..I am 5'1 and I find that the seatbelt which I always wear, is up too high on my neck and I have to keep pulling it down. Its very annoying. Otherwise you cannot beat it...as a matter of fact, I will be trading it in mid summer for a newer version and possibly the EX.....I want a moon roof! yOU WILL NOT BE DISSAPPOINTED IN BUYING THIS FINE IMPORT!",
2007,Honda,Civic,"Buyer's regrets on this one. While the fuel economy is good, I could get just about the same on a bigger car that is a lot more roomier and feels safer like a Malibu or Fusion. Also, forget about trying to fit anything in the trunk!! A lot of better choices for about the same money.",
2007,Honda,Civic,Two trips to the midwest... wow... averaged 39 mpg. This mileage included all city (Chicago etc.) and highway driving with the AC on about half the time. This car has no lack of power when needed. Very comfortable and shifting is so smooth you can only tell by looking at the tachometer **************** gears. Looking into buying a second civic.,
2007,Honda,Civic,"I bought 2007 brand new civic w/4 miles on it. I have had rear end problems w/ it ever since. It idles terribly almost dying on you at a stop light. Have had it into the dealer 1/2 dozen times and they say that this is normal. (I don't think so). The rear end acts real squirrly specially in the rain. Even my husband feels not safe driving this car. We are ready to trade it for something else. Very rough ride, seats are very hard & uncomfortable specially on long trips.",
2007,Honda,Civic,"But the dealership is aweful things everyone is stupid never buy from freehold honda in nj, try DCH honda instead much better deal to be had there. And never buy an extended warranty on a new car, wait until the manufactors warranty runs out, you will pay less or the same but have a fresh 60000 miles to go on it instead of two that over lap",
2007,Honda,Civic,"I have been a Honda owner for 15 years I have had 4 Accords all EX-L. I made a mistake on trying a different make and have come back to Honda. I sold my gas guzzling V6 Mitsubishi Galant and now have a 2007 EX Civic coupe I just wished I waited a few months i could have gotten the Civic EX-L. I love the car great gas mileage on the highway around 38 and about 28 or so in city. I can't understand the people having trouble with this car. Sure there might be a few little issues but all makes for the most part do. The people who are complaining should maybe look at how they drive or treat their cars. A friend of mine bought one after me and it looks 10 years old it's not a tank.
 
 Love it will get another!",
2007,Honda,Civic,"THE CAR RUNS WELL LIKE A BASIC CAR THE HEATED SEATS BARELY WORK AT ALL, I BROUGHT IT IN THE BE FIXED 2 TIMES AND WAS TOLD THEY WORK YOU JUST CANT FEEL THE HEAT, I AM NOT IMPRESSED AND WOULD NOT BY ANOTHER HONDA.",
2007,Honda,Civic,"This is the best car i have had. I dont know why other people are having problems but mine is running great and is still in one piece. It has great power for the motor and the acceleration response is great.I always get great gas mileage I find it hard to believe some of you is only getting 20 miles to the gallon, I get more than that and I have a lead foot. I would recommend this car to anyone.",
2007,Honda,Civic,very hard to see out of almost hit a lady. to many blind spots. and doesn`t get that great of gas miledge as they say. I bought a corolla and so far love it.,
2007,Honda,Civic,"THIS WAS THE WORST CAR I EVER BOUGHT NEW. AFTER THREE MONTHS THE TRIM STARTED FALING OFF, THE WINDOW FELL DOWN INTO THE DOOR AND IT WAS JUST A PIECE OF CRAP. I TRADED IT IN AFTER 8 MONTHS FOR AN ACURA TL",
2007,Honda,Civic,This car is the best purchase I ever made. I get looks and comments all the time on it.,
2007,Honda,Civic,it was oka at first but after a year just started falling apart. it was the worst. big bucks on repairs all the time,
2007,Honda,Civic,Love this Car one of the best I've ever owned. Gets fantastic MPG Smartest move I made,
2007,Honda,Civic,I am a hard driver. This car has taken everything I had to dish out with out any problens.,
2007,Honda,Civic,"Great Car,",
2007,Honda,Civic,"My EX also quits for no reason,the dealer say's this is normal. Im trading this in on a 2008 Ford or somthing.",
2007,Honda,Civic,Seat could be a little softer. Road noise can be harsh. A big plus on the MPG. I got better then 40 MPG on a road trip to Ohio and back.,
2007,Honda,Civic,Had some front wheel problems. That and it's just not a very sporty car. It lives up to its econo-box title.,
2007,Honda,Civic,"taking car in for the third time since getting in August. while driving car just quits with no warning.
 last night it happened 4 times. dealer cant find anything wrong. lemon????",
2007,Honda,Civic,"I have my 2007 Honda Civic Ex Cp. since Aug. Put 3,500 miles on it. I enjoy driving this car more than any car I have owned. Brake and steering response is great, acceleration for a 1.8 engine is unbelievable. Went on one 500 mile trip and gas mileage was 39 MPG, 90/10, around town and short trips I am averaging 28 MPG, 50/50. Could use a little more seat clearance for getting in and out on driver side, also road noise inside could be better. I've had a lot of commands on how great the car looks, a fun car to drive and if performance and quality hold up I will buy another Honda.",
2007,Honda,Civic,"This is a great little car. I replaced a late model Civic EX for the new 2007 Si. I love the styling and think that is what sold me on the car primarily. It also is fun to drive which is the secondary reason for my purchasing the car. Having almost 200 hp linked to a six speed manual in a car this size makes driving it a lot of fun. I was disappointed, however, that Honda would not negotiate on the price at all. For what I paid, almost $25K with tax etc, I could have bought a Mustang (although I would have paid more for Mustang GT). I prefer the front wheel drive of the Honda for bad weather as well. The Mustang is terrible in the snow (I've owned one for 10 years). I got one of the two remaining Si's on the lot late in the model year. Apparently the Honday dealer felt no need to negotiate. So, it was take it or leave it. Anyway, I wound up taking a fully loaded Si with the navigation system and upgraded stereo system. Its black on black and I had the windows tinted as well. Its a very sharp looking little car especially with the low profile tires and the sporty Si wheels. The navigation system is one of the best if not the best for any car manufacturer. My only complaint about the car is that I'm a fairly big guy for a car this size. I am 5'9"" and weigh 240lbs. The side bolsters on the bucket seats are not adjustable for wide shoulders. If your some skinny little guy this is OK but if your a wide body, like a linebacker, you can use some more width in the seat back. Honda should consider making the seats adjustable in this respect. Otherwise, the car has great breaks and the rear seats fold down which is always a plus for carrying things. I've owned several Hondas, both Accords and Civics because of their reliability, ease of maintenance, and high resale value. I would expect this vehicle to be no different in this respect.",
2007,Honda,Civic,"Bought it in late April and - no surprise - I love it! Bought it for 18K and pocket change. The EX upgrade of 4-wheel disc brakes, improved sound system, moon roof, etc will have been well worth the extra money come the far distant day comes when you sell it.",
2007,Honda,Civic,"Having sold off my 2000 Toyota 4Runner I had forgotten how much fun driving could be. Have driven RT to Denver three times since buying it at sppeds of 70 to 85 mph I've averaged from a low of 34.6 to 39.5. In town, somewhere around 28 mpg. And you know, the car looks pretty darned stylish too.",
2007,Honda,Civic,"The only difficult part of my Civic experience was finding the rare sedan stick model, but it was well worth it. Drives like a mid range sports car. Have now owned 6 Honda family cars - 4 Hondas and 2 Acuras",
2007,Honda,Civic,"I recently purchased a 2007 Honda Civic for my wife. Ever since I first started driving, I have been a Chevy enthusiast, and not very fond of ""toy cars"". When I got behind the wheel of this Civic, I was instantly impressed. The acceleration is great, braking is impressive, it is surprisingly roomy, excellent gas mileage, the list goes on and on. We have only had one problem with it since we bought the car, (the brake switch was faulty, causing it to have problems coming out of Park). The honda service department fixed it quickly. This car was very well priced and is extremely dependable. Now, I still love Chevy (no one ever stops loving their first love :) ), but I would recommend this car to anyone.",
2007,Honda,Civic,"I bought my '07 Civic EX coupe in May and have about 5500 miles on it. I love everything about the car. The build and materials quality make the car seem like it should cost more than what it does. I'm 6' 0"" and weigh 220lbs and i fit comfortably with room to spare. The car turns like its on rails with very little body roll, breaks like a great sports car, has wonderfully communicative steering, cruises at 75 quietly and effortlessly, and does all this while getting me an average of almost 34 mpg. The A/C is great, as is the 350 watt stereo and the feel of all the interior materials. It's simply a great car.",
2007,Honda,Civic,"I have owned a Corvette (which I still have), many expeditions, F150 trucks, an acura TL, Honda Accord, Vans, and driven many rental cars, I've driven them all. I recently bought a Civic EX coupe and love the car. It is Zippy, has plenty of room for me and a guest, and if I have the kids, there is room in the back. Hey, most of us drive alone most of the time, especially for work and this is one fun car. I love owning this and my vette and am extreemly happy. All my friends thought I was nuts at first, but with the little gas and the look of this coupe, its a trend setter.",
2007,Honda,Civic,"Previously owned a very dependable 2004 honda civic. I was rear-ended by a chevy pickup truck in August, while sitting at a traffic light. My civic was totalled, but i walked away sratch-free. What a testiment to Honda's safety. I bought a 2007 and love it, love it, love it! I wouldn't even think about owning anything else but a Honda Civiv",
2007,Honda,Civic,"I am 56 years old, and was introduced to the original Honda 600 Sedan, while riding in a fellow sailor's in San Francisco, in 1971.",
2007,Honda,Civic,"Since then I have owned four Hondas, but never owned anything but an American car until I was 35 years old. I also owned a very old Honda Civic, whose Odometer broke at 190,000 miles, and I still drove it to work for two years.",
2007,Honda,Civic,My newest is a 2007 Civic SI.,
2007,Honda,Civic,"ALL of my Hondas gave me great gas mileage, good to excellent performance, and NEVER broke down. But then I do not load them up with automatic transmissions, air conditioning and all the power options on those relatively small 4 cylinder engines.",
